clock,pid,state,cpu_done,cpu_total,io_done,io_total
26,5,WAITING,2,39,10,77
26,6,WAITING,4,50,6,180
26,7,WAITING,4,56,2,104
26,8,RUNNING,2,46,0,94
27,9,READY,0,56,0,152
27,10,READY,0,56,0,142
27,1,WAITING,4,43,23,154
27,2,WAITING,4,21,19,93
27,3,WAITING,2,57,17,64
27,4,WAITING,4,85,13,65
27,5,WAITING,2,39,11,77
27,6,WAITING,4,50,7,180
27,7,WAITING,4,56,3,104
27,8,RUNNING,3,46,0,94
28,9,READY,0,56,0,152
28,10,READY,0,56,0,142
28,1,WAITING,4,43,24,154
28,2,WAITING,4,21,20,93
28,3,WAITING,2,57,18,64
28,4,WAITING,4,85,14,65
28,5,WAITING,2,39,12,77
28,6,WAITING,4,50,8,180
28,7,WAITING,4,56,4,104
28,8,WAITING,4,46,0,94
29,10,READY,0,56,0,142
29,1,WAITING,4,43,25,154
29,2,WAITING,4,21,21,93
29,3,WAITING,2,57,19,64
29,4,WAITING,4,85,15,65
29,5,WAITING,2,39,13,77
29,6,WAITING,4,50,9,180
29,7,WAITING,4,56,5,104
29,8,WAITING,4,46,1,94
29,9,RUNNING,1,56,0,152
30,10,READY,0,56,0,142
30,1,WAITING,4,43,26,154
30,2,WAITING,4,21,22,93
30,3,WAITING,2,57,20,64
30,4,WAITING,4,85,16,65
30,5,WAITING,2,39,14,77
30,6,WAITING,4,50,10,180
30,7,WAITING,4,56,6,104
30,8,WAITING,4,46,2,94
30,9,RUNNING,2,56,0,152
31,10,READY,0,56,0,142
31,1,WAITING,4,43,27,154
31,2,WAITING,4,21,23,93
31,3,WAITING,2,57,21,64
31,4,WAITING,4,85,17,65
31,5,WAITING,2,39,15,77
31,6,WAITING,4,50,11,180
31,7,WAITING,4,56,7,104
31,8,WAITING,4,46,3,94
31,9,RUNNING,3,56,0,152
32,10,READY,0,56,0,142
32,1,WAITING,4,43,28,154
32,2,WAITING,4,21,24,93
32,3,WAITING,2,57,22,64
32,4,WAITING,4,85,18,65
32,5,WAITING,2,39,16,77
32,6,WAITING,4,50,12,180
32,7,WAITING,4,56,8,104
32,8,WAITING,4,46,4,94
32,9,WAITING,4,56,0,152
33,1,WAITING,4,43,29,154
33,2,WAITING,4,21,25,93
33,3,WAITING,2,57,23,64
33,4,WAITING,4,85,19,65
33,5,WAITING,2,39,17,77
33,6,WAITING,4,50,13,180
33,7,WAITING,4,56,9,104
33,8,WAITING,4,46,5,94
33,9,WAITING,4,56,1,152
33,10,RUNNING,1,56,0,142
34,1,WAITING,4,43,30,154
34,2,WAITING,4,21,26,93
34,3,WAITING,2,57,24,64
34,4,WAITING,4,85,20,65
34,5,WAITING,2,39,18,77
34,6,WAITING,4,50,14,180
34,7,WAITING,4,56,10,104
34,8,WAITING,4,46,6,94
34,9,WAITING,4,56,2,152
34,10,RUNNING,2,56,0,142
35,1,WAITING,4,43,31,154
35,2,WAITING,4,21,27,93
35,3,WAITING,2,57,25,64
35,4,WAITING,4,85,21,65
35,5,WAITING,2,39,19,77
35,6,WAITING,4,50,15,180
35,7,WAITING,4,56,11,104
35,8,WAITING,4,46,7,94
35,9,WAITING,4,56,3,152
35,10,RUNNING,3,56,0,142
36,1,WAITING,4,43,32,154
36,2,WAITING,4,21,28,93
36,3,WAITING,2,57,26,64
36,4,WAITING,4,85,22,65
36,5,WAITING,2,39,20,77
36,6,WAITING,4,50,16,180
36,7,WAITING,4,56,12,104
36,8,WAITING,4,46,8,94
36,9,WAITING,4,56,4,152
36,10,WAITING,4,56,0,142
37,1,WAITING,4,43,33,154
37,2,WAITING,4,21,29,93
37,3,WAITING,2,57,27,64
37,4,WAITING,4,85,23,65
37,5,WAITING,2,39,21,77
37,6,WAITING,4,50,17,180
37,7,WAITING,4,56,13,104
37,8,WAITING,4,46,9,94
37,9,WAITING,4,56,5,152
37,10,WAITING,4,56,1,142
38,1,WAITING,4,43,34,154
38,2,WAITING,4,21,30,93
38,3,WAITING,2,57,28,64
38,4,WAITING,4,85,24,65
38,5,WAITING,2,39,22,77
38,6,WAITING,4,50,18,180
38,7,WAITING,4,56,14,104
38,8,WAITING,4,46,10,94
38,9,WAITING,4,56,6,152
38,10,WAITING,4,56,2,142
39,1,WAITING,4,43,35,154
39,2,WAITING,4,21,31,93
39,3,WAITING,2,57,29,64
39,4,WAITING,4,85,25,65
39,5,WAITING,2,39,23,77
39,6,WAITING,4,50,19,180
39,7,WAITING,4,56,15,104
39,8,WAITING,4,46,11,94
39,9,WAITING,4,56,7,152
39,10,WAITING,4,56,3,142
40,1,WAITING,4,43,36,154
40,2,WAITING,4,21,32,93
40,3,WAITING,2,57,30,64
40,4,WAITING,4,85,26,65
40,5,WAITING,2,39,24,77
40,6,WAITING,4,50,20,180
40,7,WAITING,4,56,16,104
40,8,WAITING,4,46,12,94
40,9,WAITING,4,56,8,152
40,10,WAITING,4,56,4,142
41,1,WAITING,4,43,37,154
41,2,WAITING,4,21,33,93
41,3,WAITING,2,57,31,64
41,4,WAITING,4,85,27,65
41,5,WAITING,2,39,25,77
41,6,WAITING,4,50,21,180
41,7,WAITING,4,56,17,104
41,8,WAITING,4,46,13,94
41,9,WAITING,4,56,9,152
41,10,WAITING,4,56,5,142
42,1,WAITING,4,43,38,154
42,2,WAITING,4,21,34,93
42,3,WAITING,2,57,32,64
42,4,WAITING,4,85,28,65
42,5,WAITING,2,39,26,77
42,6,WAITING,4,50,22,180
42,7,WAITING,4,56,18,104
42,8,WAITING,4,46,14,94
42,9,WAITING,4,56,10,152
42,10,WAITING,4,56,6,142
43,1,WAITING,4,43,39,154
43,2,WAITING,4,21,35,93
43,3,WAITING,2,57,33,64
43,4,WAITING,4,85,29,65
43,5,WAITING,2,39,27,77
43,6,WAITING,4,50,23,180
43,7,WAITING,4,56,19,104
43,8,WAITING,4,46,15,94
43,9,WAITING,4,56,11,152
43,10,WAITING,4,56,7,142
44,1,WAITING,4,43,40,154
44,2,WAITING,4,21,36,93
44,3,WAITING,2,57,34,64
44,4,WAITING,4,85,30,65
44,5,WAITING,2,39,28,77
44,6,WAITING,4,50,24,180
44,7,WAITING,4,56,20,104
44,8,WAITING,4,46,16,94
44,9,WAITING,4,56,12,152
44,10,WAITING,4,56,8,142
45,1,WAITING,4,43,41,154
45,2,WAITING,4,21,37,93
45,3,WAITING,2,57,35,64
45,4,WAITING,4,85,31,65
45,5,WAITING,2,39,29,77
45,6,WAITING,4,50,25,180
45,7,WAITING,4,56,21,104
45,8,WAITING,4,46,17,94
45,9,WAITING,4,56,13,152
45,10,WAITING,4,56,9,142
46,1,WAITING,4,43,42,154
46,2,WAITING,4,21,38,93
46,3,WAITING,2,57,36,64
46,4,WAITING,4,85,32,65
46,5,WAITING,2,39,30,77
46,6,WAITING,4,50,26,180
46,7,WAITING,4,56,22,104
46,8,WAITING,4,46,18,94
46,9,WAITING,4,56,14,152
46,10,WAITING,4,56,10,142
47,1,WAITING,4,43,43,154
47,2,WAITING,4,21,39,93
47,3,WAITING,2,57,37,64
47,4,WAITING,4,85,33,65
47,5,WAITING,2,39,31,77
47,6,WAITING,4,50,27,180
47,7,WAITING,4,56,23,104
47,8,WAITING,4,46,19,94
47,9,WAITING,4,56,15,152
47,10,WAITING,4,56,11,142
48,1,WAITING,4,43,44,154
48,2,WAITING,4,21,40,93
48,3,WAITING,2,57,38,64
48,4,WAITING,4,85,34,65
48,5,WAITING,2,39,32,77
48,6,WAITING,4,50,28,180
48,7,WAITING,4,56,24,104
48,8,WAITING,4,46,20,94
48,9,WAITING,4,56,16,152
48,10,WAITING,4,56,12,142
49,1,WAITING,4,43,45,154
49,2,WAITING,4,21,41,93
49,3,WAITING,2,57,39,64
49,4,WAITING,4,85,35,65
49,5,WAITING,2,39,33,77
49,6,WAITING,4,50,29,180
49,7,WAITING,4,56,25,104
49,8,WAITING,4,46,21,94
49,9,WAITING,4,56,17,152
49,10,WAITING,4,56,13,142
50,1,WAITING,4,43,46,154
50,2,WAITING,4,21,42,93
50,3,WAITING,2,57,40,64
50,4,WAITING,4,85,36,65
50,5,WAITING,2,39,34,77
50,6,WAITING,4,50,30,180
50,7,WAITING,4,56,26,104
50,8,WAITING,4,46,22,94
50,9,WAITING,4,56,18,152
50,10,WAITING,4,56,14,142
51,1,WAITING,4,43,47,154
51,2,WAITING,4,21,43,93
51,3,WAITING,2,57,41,64
51,4,WAITING,4,85,37,65
51,5,WAITING,2,39,35,77
51,6,WAITING,4,50,31,180
51,7,WAITING,4,56,27,104
51,8,WAITING,4,46,23,94
51,9,WAITING,4,56,19,152
51,10,WAITING,4,56,15,142
52,1,WAITING,4,43,48,154
52,2,WAITING,4,21,44,93
52,3,WAITING,2,57,42,64
52,4,WAITING,4,85,38,65
52,5,WAITING,2,39,36,77
52,6,WAITING,4,50,32,180
52,7,WAITING,4,56,28,104
52,8,WAITING,4,46,24,94
52,9,WAITING,4,56,20,152
52,10,WAITING,4,56,16,142
53,1,WAITING,4,43,49,154
53,2,WAITING,4,21,45,93
53,3,WAITING,2,57,43,64
53,4,WAITING,4,85,39,65
53,5,WAITING,2,39,37,77
53,6,WAITING,4,50,33,180
53,7,WAITING,4,56,29,104
53,8,WAITING,4,46,25,94
53,9,WAITING,4,56,21,152
53,10,WAITING,4,56,17,142
54,1,WAITING,4,43,50,154
54,2,WAITING,4,21,46,93
54,3,WAITING,2,57,44,64
54,4,WAITING,4,85,40,65
54,5,WAITING,2,39,38,77
54,6,WAITING,4,50,34,180
54,7,WAITING,4,56,30,104
54,8,WAITING,4,46,26,94
54,9,WAITING,4,56,22,152
54,10,WAITING,4,56,18,142
55,1,WAITING,4,43,51,154
55,2,WAITING,4,21,47,93
55,3,WAITING,2,57,45,64
55,4,WAITING,4,85,41,65
55,5,WAITING,2,39,39,77
55,6,WAITING,4,50,35,180
55,7,WAITING,4,56,31,104
