clock,running_pid,ready_size,waiting_size,terminated_size
1016,9,2,0,7
1017,9,2,0,7
1018,9,2,0,7
1019,9,2,0,7
1020,9,2,0,7
1021,9,2,0,7
1022,9,2,0,7
1023,9,2,0,7
1024,9,2,0,7
1025,9,2,0,7
1026,9,2,0,7
1027,9,2,0,7
1028,9,2,0,7
1029,9,2,0,7
1030,9,2,0,7
1031,9,2,0,7
1032,9,2,0,7
1033,9,2,0,7
1034,9,2,0,7
1035,9,2,0,7
1036,9,2,0,7
1037,-1,2,0,8
1038,4,1,0,8
1039,4,1,0,8
1040,4,1,0,8
1041,4,1,0,8
1042,4,1,0,8
1043,4,1,0,8
1044,4,1,0,8
1045,4,1,0,8
1046,4,1,0,8
1047,4,1,0,8
1048,4,1,0,8
1049,4,1,0,8
1050,4,1,0,8
1051,4,1,0,8
1052,4,1,0,8
1053,4,1,0,8
1054,4,1,0,8
1055,4,1,0,8
1056,4,1,0,8
1057,4,1,0,8
1058,4,1,0,8
1059,4,1,0,8
1060,4,1,0,8
1061,4,1,0,8
1062,4,1,0,8
1063,4,1,0,8
1064,4,1,0,8
1065,4,1,0,8
1066,4,1,0,8
1067,4,1,0,8
1068,4,1,0,8
1069,4,1,0,8
1070,4,1,0,8
1071,4,1,0,8
1072,4,1,0,8
1073,4,1,0,8
1074,4,1,0,8
1075,4,1,0,8
1076,4,1,0,8
1077,4,1,0,8
1078,4,1,0,8
1079,4,1,0,8
1080,4,1,0,8
1081,4,1,0,8
1082,4,1,0,8
1083,4,1,0,8
1084,4,1,0,8
1085,4,1,0,8
1086,4,1,0,8
1087,4,1,0,8
1088,4,1,0,8
1089,4,1,0,8
1090,4,1,0,8
1091,4,1,0,8
1092,4,1,0,8
1093,4,1,0,8
1094,4,1,0,8
1095,-1,1,0,9
1096,8,0,0,9
1097,8,0,0,9
1098,8,0,0,9
1099,8,0,0,9
1100,8,0,0,9
1101,8,0,0,9
1102,8,0,0,9
1103,8,0,0,9
1104,8,0,0,9
1105,8,0,0,9
1106,8,0,0,9
1107,8,0,0,9
1108,8,0,0,9
1109,8,0,0,9
1110,8,0,0,9
1111,8,0,0,9
1112,8,0,0,9
1113,-1,0,0,10
